"nesi.pk"	"nesi.resource"	"nesi.valuetype"	"nesi.value"	"nesi.unit"	"nesi.location"	"nesi.with_property"	"nesi.reference"	"nesi.infotype"
432	291150	"ECe"	0.136	"kgCO_2e/kg"				
433	291356	"EC"	3.73	"kgCO_2/kg"				
434	291356	"ECe"	4	"kgCO_2e/kg"				
435	291356	"EE"	69	"MJ/kg"				
436	295010	"EE"	0.85	"MJ/kg"			114	
437	295010	"EC"	0.02	"kgCO_2/kg"			114	
438	295010	"ECe"		"kgCO_2e/kg"			114	
439	297206	"EE"	72.1	"MJ/kg"				
440	297206	"EC"	3.76	"kgCO_2/kg"				
441	297206	"ECe"		"kgCO_2e/kg"				
442	301776	"EE"	20.17	"MJ/kg"			2	
443	301776	"EC"	0.63	"kgCO_2/kg"			2	
444	301776	"ECe"		"kgCO_2e/kg"			2	
445	307986	"EE"	28	"MJ/kg"				
446	307986	"EC"	1.54	"kgCO_2/kg"				
447	307986	"ECe"		"kgCO_2e/kg"				
448	307986	"EE"	28	"MJ/kg"				
449	307986	"EC"	1.35	"kgCO_2/kg"				
450	307986	"ECe"		"kgCO_2e/kg"				
451	315756	"EE"	95.4	"MJ/kg"				
452	315756	"EC"	4.98	"kgCO_2/kg"				
453	315756	"ECe"		"kgCO_2e/kg"				
454	322119	"EE"	4.17	"MJ/kg"				
455	322119	"EE"	3	"MJ/kg"				
456	322119	"EC"	0.63	"kgCO_2/kg"				
457	322119	"EC"	0.38	"kgCO_2/kg"				
458	322119	"ECe"	0.64	"kgCO_2e/kg"				
459	322119	"ECe"	0.39	"kgCO_2e/kg"				
460	326916	"EE"	0.03	"MJ/kg"				
461	326916	"EC"	0.002	"kgCO_2/kg"				
462	326916	"ECe"	0.002	"kgCO_2e/kg"				
463	330371	"EE"	106.5	"MJ/kg"				
464	330371	"EC"	5.56	"kgCO_2/kg"				
465	330371	"ECe"		"kgCO_2e/kg"				
466	336662	"EE"	12	"MJ_{fossil}/kg"				
467	336662	"EE"	4.9	"MJ_{bio}"				
